,text,object_name,best_rating,rating_value,object_select,object_type,object_part_of_series_type,rating_unit
1533,For the current  chronicle I give five of 6,,6,five,current,,chronicle,
1534,RAte the Black Coffee  chronicle  three out of 6  stars,Black Coffee,6,three,,,chronicle,stars
1535,Rate this  chronicle a 4,,,4,this,,chronicle,
1536,rate the current  novel  1,,,1,current,novel,,
1537,please rate this  textbook  five  stars out of 6,,6,five,this,textbook,,stars
1538,I want to give The Black Cloud  one  points,The Black Cloud,,one,,,,points
1539,Rate The White Abacus  zero out of 6  points,The White Abacus,6,zero,,,,points
1540,Rate The Life and Loves of a She-Devil  5 out of 6,The Life and Loves of a She-Devil,6,5,,,,
1541,give 0 out od 6  stars to Mystery of the Desert Giant,Mystery of the Desert Giant,6,0,,,,stars
1542,"I give The History of the Saracens a three , or 6  points",The History of the Saracens,6,three,,,,points
1543,I would like to rate the current  book I am reading 0  stars .,,,0,current,book,,stars
1544,Give the current  novel  four  points .,,,four,current,novel,,points
1545,rate current  album  0  stars ,,,0,current,album,,stars
1546,Rate this  series  0 of 6  stars,,6,0,this,,series,stars
1547,Rate this  album  5  points,,,5,this,album,,points
1548,Give the current  book  0  points .,,,0,current,book,,points
1549,For the saga  The End of a Family Story I give 0  stars,The End of a Family Story,,0,,,saga,stars
1550,I give this  book  five  stars out of 6,,6,five,this,book,,stars
1551,I rate this  novel  2 of 6  points,,6,2,this,novel,,points
1552,Give zero / 6  stars to this  album,,6,zero,this,album,,stars
1553,I'd give The Cricket in Times Square  3  stars,The Cricket in Times Square,,3,,,,stars
1554,Rate the current  essay a three  points,,,three,current,essay,,points
1555,give 0 out of 6 to War of the Spider Queen  saga,War of the Spider Queen,6,0,,,saga,
1556,give this  textbook a 0 out of 6,,6,0,this,textbook,,
1557,I would rate The Best Science Fiction Stories and Novels: Ninth Series  5  points,The Best Science Fiction Stories and Novels: Ninth Series,,5,,,,points
1558,Can I rate the current  textbook  three to 6  stars ?,,6,three,current,textbook,,stars
1559,Rate Lost Boys: Why Our Sons Turn Violent and How We Can Save Them  zero of 6,Lost Boys: Why Our Sons Turn Violent and How We Can Save Them,6,zero,,,,
1560,I give The Logic of Sense a zero,The Logic of Sense,,zero,,,,
1561,Rate Who Moved My Cheese? a one ,Who Moved My Cheese?,,one,,,,
1562,rate Galactic Pot-Healer  two  points,Galactic Pot-Healer,,two,,,,points
1563,This current  essay deserves 0  stars,,,0,current,essay,,stars
1564,Give Anatomy of a Typeface a 1 rating.,Anatomy of a Typeface,,1,,,,
1565,I would give this  novel  four  stars,,,four,this,novel,,stars
1566,Rate the current  book  2  points,,,2,current,book,,points
1567,Rate The Agent of Death with five  stars out of 6,The Agent of Death,6,five,,,,stars
1568,rate Awaiting Strange Gods: Weird and Lovecraftian Fictions a 1,Awaiting Strange Gods: Weird and Lovecraftian Fictions,,1,,,,
1569,the following  essay is a two,,,two,following,essay,,
1570,give 5 star to the book  The Knight of Newts,The Knight of Newts,,5,,book,,
1571,Rate the Egg Collecting and Bird Life of Australia  saga a one,Egg Collecting and Bird Life of Australia,,one,,,saga,
1572,Give 3 / 6  stars to Doctor in the House,Doctor in the House,6,3,,,,stars
1573,Rate this  textbook  3 of 6,,6,3,this,textbook,,
1574,rate Opération Sweet Tooth  2  points,Opération Sweet Tooth,,2,,,,points
1575,Rate this  textbook  five  points,,,five,this,textbook,,points
1576,rate this  novel  5  stars,,,5,this,novel,,stars
1577,Rate my current  essay  1 out of 6  stars,,6,1,current,essay,,stars
1578,I want to rate the Children of This Earth  chronicle a rating value of 1 and a best rating of 6,Children of This Earth,6,1,,,chronicle,
1579,Rate Canto for a Gypsy  two of 6  stars,Canto for a Gypsy,6,two,,,,stars
1580,Give this  album  three / 6  points,,6,three,this,album,,points
1581,please give a 2 out of 6 to House of Many Ways,House of Many Ways,6,2,,,,
1582,Give this  saga a 1 .,,,1,this,,saga,
1583,Give this current  textbook  zero out of 6  points .,,6,zero,current,textbook,,points
1584,Rate the current  album  4 out of 6  stars,,6,4,current,album,,stars
1585,rate current  album  five,,,five,current,album,,
1586,I rate Mosses from an Old Manse a 0,Mosses from an Old Manse,,0,,,,
1587,give 5  points to The Deathlord of Ixia,The Deathlord of Ixia,,5,,,,points
1588,Give the chronicle  Fathers and Crows a 5 out of 6 .,Fathers and Crows,6,5,,,chronicle,
1589,Rate Conan of the Red Brotherhood  2 of 6,Conan of the Red Brotherhood,6,2,,,,
1590,give one to this  novel,,,one,this,novel,,
1591,I would give the book  Lavender and Old Lace a rating of three,Lavender and Old Lace,,three,,book,,
1592,Rate A Pelican at Blandings a 2 ,A Pelican at Blandings,,2,,,,
1593,Rate this  album a 4,,,4,this,album,,
1594,I give this current  textbook a rating value of 1 and a best rating of 6,,6,1,current,textbook,,
1595,one  stars out of 6 is my rating for The Giaour .,The Giaour,6,one,,,,stars
1596,Rate I Capture the Castle  0  points,I Capture the Castle,,0,,,,points
1597,Rate Unlimited Power  4 of 6  points,Unlimited Power,6,4,,,,points
1598,this is a 6 rating for the album  down to one,down,6,one,this,album,,
1599,I give this  essay  three of 6  stars,,6,three,this,essay,,stars
1600,Give Whispers in the Graveyard a five .,Whispers in the Graveyard,,five,,,,
1601,Rate this  album a 3,,,3,this,album,,
1602,rate this book titled The Improvisatore  five  stars,The Improvisatore,,five,,book,,stars
1603,Rate this  novel  5 of 6,,6,5,this,novel,,
1604,"The chronicle of The Emperor Wears No Clothes was too naive and simple, I'd give it 1 out of 6  stars .",too,6,1,,,chronicle,stars
1605,Rate this  saga  0  stars,,,0,this,,saga,stars
1606,I want to give this  novel  zero,,,zero,this,novel,,
1607,I give the next  textbook a 2 .,,,2,next,textbook,,
1608,Rate this current  novel  one  points ,,,one,current,novel,,points
1609,rate the current  book  series  4 out of 6,,6,4,current,book,series,
1610,I would rate this  album a zero and give it a best rating of 6,,6,zero,this,album,,
1611,"Out of 6 , I give the following  book  zero .",,6,zero,following,book,,
1612,I rate the book  Rusty String Quartet a 4 ,Rusty String Quartet,,4,,book,,
1613,Add the rating for this current  series a four out of 6  points,,6,four,current,,series,points
1614,give 1 out of 6 to West of January,West of January,6,1,,,,
1615,Assign 5  stars to Lincoln at Gettysburg,Lincoln at Gettysburg,,5,,,,stars
1616,Give this  book  five / 6  points .,,6,five,this,book,,points
1617,this  novel gets 0 out of 6  points,,6,0,this,novel,,points
1618,rate this  essay  3 out of 6  points,,6,3,this,essay,,points
1619,out of 6  The Black Unicorn rates points of 2,The Black Unicorn,6,2,,,,points
1620,I want to rate Hostile Waters  chronicle  book with five out of 6,Hostile Waters,6,five,,book,chronicle,
1621,This current  book deserves 3  points,,,3,current,book,,points
1622,Rate my current  textbook  0 out of 6,,6,0,current,textbook,,
1623,rate this  series  1 out of 6,,6,1,this,,series,
1624,Rate The Scoop  5 out of 6  points,The Scoop,6,5,,,,points
1625,rate this current  book  five,,,five,current,book,,
1626,Rate the current  novel  two  points,,,two,current,novel,,points
1627,Rate The Broken Spears with 2  stars .,The Broken Spears,,2,,,,stars
1628,Give the current  series a two,,,two,current,,series,
1629,I rate this  textbook  0 ,,,0,this,textbook,,
1630,rate this  textbook a one,,,one,this,textbook,,
1631,give Private Games  3  stars out of 6,Private Games,6,3,,,,stars
1632,I think this  album deserves 0  points,,,0,this,album,,points
1633,Rate She: A History of Adventure a one of 6,She: A History of Adventure,6,one,,,,
1634,Give the current  book  5 out of 6  points .,,6,5,current,book,,points
1635,rate the current  essay a three,,,three,current,essay,,
1636,give three  points to current  book,,,three,current,book,,points
1637,I want to give this current  novel  4  points,,,4,current,novel,,points
1638,Rate this  book  5  stars out of 6,,6,5,this,book,,stars
1639,River Secrets deserves a best rating of 6 but zero  points,River Secrets,6,zero,,,,points
1640,I'm giving this  book  series  four  points,,,four,this,book,series,points
1641,Give this  textbook  one  stars out of 6,,6,one,this,textbook,,stars
1642,rate The Long Dark Tea-Time of the Soul  5  stars,The Long Dark Tea-Time of the Soul,,5,,,,stars
1643,rate this book called The Last of the Wine  two out of 6  points,The Last of the Wine,6,two,,book,,points
1644,Rate my current  essay  zero out of 6,,6,zero,current,essay,,
1645,Rate Incomplete Nature  three of 6  stars,Incomplete Nature,6,three,,,,stars
1646,Give this  book a rating of four out of 6 .,,6,four,this,book,,
1647,Rate this  novel  one of 6,,6,one,this,novel,,
1648,give this current  essay a 3 out of 6,,6,3,current,essay,,
1649,this chronicle of The Origins and History of Consciousness is a three,The Origins and History of Consciousness,,three,,,chronicle,
1650,I'd rate Days of Blood and Starlight a 4,Days of Blood and Starlight,,4,,,,
1651,Give this  chronicle  4  stars .,,,4,this,,chronicle,stars
1652,Rate this  book  five of 6  points,,6,five,this,book,,points
1653,Rate The Young Elites  series  1 of 6  points,The Young Elites,6,1,,,series,points
1654,Rate The Warrior Prophet  3 of 6  stars,The Warrior Prophet,6,3,,,,stars
1655,Peter and the Piskies: Cornish Folk and Fairy Tales only gets a three out of 6 .,Peter and the Piskies: Cornish Folk and Fairy Tales,6,three,,,,
1656,rate current  saga  one point out of 6,,6,one,current,,saga,
1657,I rate the current  album  four of 6,,6,four,current,album,,
1658,Rate this  album  2 out of 6,,6,2,this,album,,
1659,rate Orion in the Dying Time  four  stars,Orion in the Dying Time,,four,,,,stars
1660,Rate the Parable of the Sower a 2 out of 6,Parable of the Sower,6,2,,,,
1661,I want to give The Canon of Medicine  one out of 6  stars ,The Canon of Medicine,6,one,,,,stars
1662,rate The Promise  1  points,The Promise,,1,,,,points
1663,I'd rate this  book  1 of 6  stars,,6,1,this,book,,stars
1664,Give my current  book  4  stars .,,,4,current,book,,stars
1665,Rate Real World  four out of 6 ,Real World,6,four,,,,
1666,Rate this  chronicle  0  stars,,,0,this,,chronicle,stars
1667,Rate current  novel  3  stars,,,3,current,novel,,stars
1668,I give a 4 to 3 Willows: The Sisterhood Grows .,3 Willows: The Sisterhood Grows,,4,,,,
1669,Rate Cold Comfort Farm a three out of 6 total,Cold Comfort Farm,6,three,,,,
1670,rate this current  textbook  0  points,,,0,current,textbook,,points
1671,Folk and Fairy Tales gets 1 out of 6  points,Folk and Fairy Tales,6,1,,,,points
1672,Give this  book  four  stars as a rating review.,,,four,this,book,,stars
1673,Can you rate this current  essay with zero  stars ?,,,zero,current,essay,,stars
1674,The Citrus Industry is a four rating value and a best rating of 6,The Citrus Industry,6,four,,,,
1675,give Under the Sign of Saturn a four out of 6,Under the Sign of Saturn,6,four,,,,
1676,give the current  book  zero of 6 ,,6,zero,current,book,,
1677,The previous  essay gets 0 out of 6 possible stars,,6,0,previous,essay,,stars
1678,rate the book  The World Is Full of Divorced Women  2 out of 6  stars,The World Is Full of Divorced Women,6,2,,book,,stars
1679,I would rate Coming Through Slaughter a four out of 6 .,Coming Through Slaughter,6,four,,,,
1680,Rate the current  chronicle  0 out 6  stars,,6,0,current,,chronicle,stars
1681,give this  album  three out of 6  points,,6,three,this,album,,points
1682,I would give this current  novel a value of 3 and a rating of 6,,6,3,current,novel,,
1683,Give the current  album  2 out of 6  points .,,6,2,current,album,,points
1684,The book  The Chymical Wedding is only worth 3  points .,The Chymical Wedding,,3,,book,,points
1685,rate this  novel  four  points,,,four,this,novel,,points
1686,I want to give the current  album  2  stars,,,2,current,album,,stars
1687,The Law of Dreams gets a low rating of one,The Law of Dreams,,one,,,,
1688,rate this book titled The Silver Chalice a 1,The Silver Chalice,,1,,book,,
1689,Rate my current  book  1 out of 6  points,,6,1,current,book,,points
1690,rate current  textbook  0,,,0,current,textbook,,
1691,I give Rogue Ship  5 out of 6 .,Rogue Ship,6,5,,,,
1692,Rate this  novel  4  points out of 6,,6,4,this,novel,,points
1693,Give the current  book  four  stars,,,four,current,book,,stars
1694,give this  textbook  four  stars,,,four,this,textbook,,stars
1695,I'd give The Jewel in the Crown  saga  four of 6  stars,The Jewel in the Crown,6,four,,,saga,stars
1696,How do I rate the book  White Teeth only 4  stars ?,White Teeth,,4,,book,,stars
1697,Rate Short Trips: Destination Prague  five out of 6,Short Trips: Destination Prague,6,five,,,,
1698,rate The Writing on the Hearth  2 out of 6  points,The Writing on the Hearth,6,2,,,,points
1699,rate Hunting and Gathering a two,Hunting and Gathering,,two,,,,
1700,rate this  essay  zero of 6  points,,6,zero,this,essay,,points
1701,rate the book  The Rod of Seven Parts  4  points,The Rod of Seven Parts,,4,,book,,points
1702,1 point for this next  textbook,,,1,next,textbook,,
1703,Rate the Under the Sign of Saturn  0 of 6,Under the Sign of Saturn,6,0,,,,
1704,rate The Zenith Angle  one out of 6  points,The Zenith Angle,6,one,,,,points
1705,rating points for Castles of Steel out of 6 are 5,Castles of Steel,6,5,,,,points
1706,give zero star for current  album,,,zero,current,album,,
1707,Rate the current  chronicle a one,,,one,current,,chronicle,
1708,"rate the book  A Girl, a Man, and a River a five","A Girl, a Man, and a River",,five,,book,,
1709,Give Setting Free the Bears  series a four out of 6  stars rating.,Setting Free the Bears,6,four,,,series,stars
1710,this  essay should get 1 of the points,,,1,this,essay,,points
1711,I rate A Moment in Time a 5 ,A Moment in Time,,5,,,,
1712,rate the next  book  four  stars,,,four,next,book,,stars
1713,To the Stars: The Autobiography of George Takei gets four out of 6  stars,To the Stars: The Autobiography of George Takei,6,four,,,,stars
1714,give 5 out of 6 to this  album,,6,5,this,album,,
1715,Rate Red Nails  two of 6  stars,Red Nails,6,two,,,,stars
1716,Rate Primal Fear  one of 6,Primal Fear,6,one,,,,
1717,Give this  series  three  points out of 6 .,,6,three,this,,series,points
1718,rate To Your Scattered Bodies Go a 1 out of 6,To Your Scattered Bodies Go,6,1,,,,
1719,I would give The Call of the Toad a value of zero and a best rating of 6,The Call of the Toad,6,zero,,,,
1720,Rate the current  essay  5  stars,,,5,current,essay,,stars
1721,I would give The Minority Report a rating of 0  points,The Minority Report,,0,,,,points
1722,one  stars for the following  album,,,one,following,album,,stars
1723,I want to give Gay Male Pornography: An Issue of Sex Discrimination a 1 ,Gay Male Pornography: An Issue of Sex Discrimination,,1,,,,
1724,give The Enemy Within  saga  3  stars for me,The Enemy Within,,3,,,saga,stars
1725,give zero rating to The Deed of Paksenarrion,The Deed of Paksenarrion,,zero,,,,
1726,Rate this  album  4  points,,,4,this,album,,points
1727,Rate the current  textbook  one  stars,,,one,current,textbook,,stars
1728,rate The Gutting of Couffignal  one  points,The Gutting of Couffignal,,one,,,,points
1729,rate the current  book  series  two out of 6  stars,,6,two,current,book,series,stars
1730,I want to give the current  novel  5 out of 6  points,,6,5,current,novel,,points
1731,Rate Voyage in the Dark  3 of 6,Voyage in the Dark,6,3,,,,
1732,Give the current  book im reading zero  points out of 6 .,,6,zero,current,book,,points
1733,rate this  novel  zero out of 6,,6,zero,this,novel,,
1734,Rate The Crossroads  4 of 6  stars,The Crossroads,6,4,,,,stars
1735,I give a rating of 4 out of 6 for the book  My Sister and I,My Sister and I,6,4,,book,,
1736,This current  textbook deserves a rating of 3  points and a best rating of 6,,6,3,current,textbook,,points
1737,this horrible essay gets zero out of 6  stars,,6,zero,this,essay,,stars
1738,The A Mighty Fortress  series should be rated a two,A Mighty Fortress,,two,,,series,
1739,Give one out of 6  stars to The Shiva Option,The Shiva Option,6,one,,,,stars
1740,rate Understanding Physics  5 out of 6,Understanding Physics,6,5,,,,
1741,Rate The Grisly Wife  three  points out of 6,The Grisly Wife,6,three,,,,points
1742,Contemporary Religious Satanism gets a 3 rating,Contemporary Religious Satanism,,3,,,,
1743,Rate the Beyond This Place  chronicle  three of 6,Beyond This Place,6,three,,,chronicle,
1744,I think The Turbulent Term of Tyke Tiler is a rating of 3 .,The Turbulent Term of Tyke Tiler,,3,,,,
1745,0  stars for this current  saga,,,0,current,,saga,stars
1746,I'd rate Glaring Through Oblivion a zero of 6,Glaring Through Oblivion,6,zero,,,,
1747,I would rate this current  textbook  four  stars,,,four,current,textbook,,stars
1748,rate Girls Forever Brave and True  zero  points,Girls Forever Brave and True,,zero,,,,points
1749,I give the book  The Silence of the Lambs a rating of zero of a possiable 6 ,The Silence of the Lambs,6,zero,,book,,
1750,I want to rate The Turbulent Term of Tyke Tiler a 3,The Turbulent Term of Tyke Tiler,,3,,,,
1751,rate Heath Ledger: His Beautiful Life and Mysterious Death  1  stars,Heath Ledger: His Beautiful Life and Mysterious Death,,1,,,,stars
1752,I want to give the current  novel  4  stars,,,4,current,novel,,stars
1753,Rate The Travels of Lao Can  five out of 6,The Travels of Lao Can,6,five,,,,
1754,Rate Seven Pillars of Wisdom  two  points,Seven Pillars of Wisdom,,two,,,,points
1755,Give this  album a three,,,three,this,album,,
1756,Rate the book  An Appeal from the New to the Old Whigs a 0,An Appeal from the New to the Old Whigs,,0,,book,,
1757,Rate the Michel Strogoff  saga  four of 6,Michel Strogoff,6,four,,,saga,
1758,Rate the current  novel  four out of 6  points,,6,four,current,novel,,points
1759,I gave The Hand of Zei  series  three of 6  stars,The Hand of Zei,6,three,,,series,stars
1760,Can i add the a rating of two out of 6  stars to the book  The Pocket Book of Boners,The Pocket Book of Boners,6,two,,book,,stars
1761,give four out of 6  points to this  essay,,6,four,this,essay,,points
1762,I'd rate this  novel at 2  points,,,2,this,novel,,points
1763,I give this  textbook a four,,,four,this,textbook,,
1764,I am giving this current  album a rating of four out of 6  points,,6,four,current,album,,points
1765,Season of the Witch: How the Occult Saved Rock and Roll gets five  points,Season of the Witch: How the Occult Saved Rock and Roll,,five,,,,points
1766,Rate the current  novel  five of 6  points,,6,five,current,novel,,points
1767,Give the current  novel  3  stars .,,,3,current,novel,,stars
1768,Rate this  essay  3 of 6  points,,6,3,this,essay,,points
1769,Why Buffy Matters is zero out of 6  points .,Why Buffy Matters,6,zero,,,,points
1770,Give Upon Some Midnights Clear  chronicle  four out of 6 for a rating.,Upon Some Midnights Clear,6,four,,,chronicle,
1771,rate this current  novel a 3,,,3,current,novel,,
1772,Rate Of the Subcontract a 0,Of the Subcontract,,0,,,,
1773,Rate this  album  two out of 6,,6,two,this,album,,
1774,give five  stars to current  album,,,five,current,album,,stars
1775,I give the following  album a zero .,,,zero,following,album,,
1776,Rate this  album  zero of 6  points,,6,zero,this,album,,points
1777,Rate my current  novel  2 out of 6  points,,6,2,current,novel,,points
1778,give 5 out of 6 to this  book,,6,5,this,book,,
1779,Give the current  novel a rating of 5 out of 6 .,,6,5,current,novel,,
1780,give five  points to The Tenor Wore Tapshoes,The Tenor Wore Tapshoes,,five,,,,points
1781,rate the book  Who Will Cry When You Die  one out of 6  stars,Who Will Cry When You Die,6,one,,book,,stars
1782,rate this  textbook  2  stars,,,2,this,textbook,,stars
1783,rate A Thousand Lies  series a 3,A Thousand Lies,,3,,,series,
1784,Rate this  series  five out of 6 ,,6,five,this,,series,
1785,The Far Side of the World  chronicle deserves three out of 6  points .,The Far Side of the World,6,three,,,chronicle,points
1786,Rate the current  book  one of 6  points,,6,one,current,book,,points
1787,give 2 out of 6 to Smoke in the Forest,Smoke in the Forest,6,2,,,,
1788,give 5  points to current  novel,,,5,current,novel,,points
1789,This current  album would get 6  stars or a rating value of 1,,6,1,current,album,,stars
1790,rate this  novel a two,,,two,this,novel,,
1791,I award this next  series  0  points,,,0,next,,series,points
1792,rate this  chronicle  two  points,,,two,this,,chronicle,points
1793,rate The Race a two,The Race,,two,,,,
1794,rate this  book  2 of 6  points,,6,2,this,book,,points
1795,rate Pastwatch: The Redemption of Christopher Columbus  chronicle  zero  points,Pastwatch: The Redemption of Christopher Columbus,,zero,,,chronicle,points
1796,I want to rate this  novel  three out of 6,,6,three,this,novel,,
1797,rate this  textbook  four  stars,,,four,this,textbook,,stars
1798,rate this  essay  5 of 6 ,,6,5,this,essay,,
1799,Rate this  album  3  stars,,,3,this,album,,stars
1800,"my rating for Dilvish, the Damned is 4 out of 6","Dilvish, the Damned",6,4,,,,
1801,rat the current  textbook a two out of 6  points,,6,two,current,textbook,,points
1802,give four out of 6  stars to this  textbook,,6,four,this,textbook,,stars
1803,Rate Cuisines of the Axis of Evil and Other Irritating States  one out of 6,Cuisines of the Axis of Evil and Other Irritating States,6,one,,,,
1804,rate current  book  0  stars,,,0,current,book,,stars
1805,rate this book titled House of Dolls  three out of 6  stars,House of Dolls,6,three,,book,,stars
1806,rate The Road to Reality: A Complete Guide to the Laws of the Universe  two  points,The Road to Reality: A Complete Guide to the Laws of the Universe,,two,,,,points
1807,I want to give the current  saga a five,,,five,current,,saga,
1808,this horrible textbook deserves a 0 rating,,,0,this,textbook,,
1809,Rate the current  essay  4  stars,,,4,current,essay,,stars
1810,rate Dragons of Spring Dawning  3  stars,Dragons of Spring Dawning,,3,,,,stars
1811,I'm giving 0  points to A New Lease of Death .,A New Lease of Death,,0,,,,points
1812,give three  stars out of 6 in current  essay,,6,three,current,essay,,stars
1813,I'd give this  essay a three of 6,,6,three,this,essay,,
1814,I think the chronicle entitled The Spirit of St. Louis should be given a zero rating.,The Spirit of St. Louis,,zero,,,chronicle,
1815,rate this  textbook  5  stars,,,5,this,textbook,,stars
1816,rate this  textbook a four,,,four,this,textbook,,
1817,Give The Spirit House a 4 out of 6,The Spirit House,6,4,,,,
1818,rate this book titled The Clue in the Old Album  one out of 6  stars,The Clue in the Old Album,6,one,,book,,stars
1819,Rate my current  novel  0 out of 6  points,,6,0,current,novel,,points
1820,give this  textbook a 4,,,4,this,textbook,,
1821,My rating for The Eiffel Tower and Other Mythologies is 0 out of 6  stars,The Eiffel Tower and Other Mythologies,6,0,,,,stars
1822,Rate Book of the Dead  three  stars,Book of the Dead,,three,,,,stars
1823,I give What We Talk About When We Talk About Love a two of 6,What We Talk About When We Talk About Love,6,two,,,,
1824,rate the Effortless Mastery  chronicle a 4 ,Effortless Mastery,,4,,,chronicle,
1825,I would rate this  book  3  points out of 6,,6,3,this,book,,points
1826,Rate this  novel  1 out of 6  points,,6,1,this,novel,,points
1827,The current  essay is a three of 6,,6,three,current,essay,,
1828,rate The Sail and Steam Navy List  5  stars,The Sail and Steam Navy List,,5,,,,stars
1829,I rate this  novel  5 of 6,,6,5,this,novel,,
1830,Rate the current  album a four,,,four,current,album,,
1831,rate The Other Wind  2 of 6,The Other Wind,6,2,,,,
1832,give two out of 6  points to current  album,,6,two,current,album,,points
1833,Rate the Ninth Key  3 of 6  points,Ninth Key,6,3,,,,points
1834,"For the book  Ethics , my rating is 2 out of 6",Ethics,6,2,,book,,
1835,Rate current  series  one,,,one,current,,series,
1836,Rate The Postman Always Rings Twice  zero  stars out of 6 .,The Postman Always Rings Twice,6,zero,,,,stars
1837,Give Modern Glamour: The Art of Unexpected Style  three out of 6  stars,Modern Glamour: The Art of Unexpected Style,6,three,,,,stars
1838,give The Creator  zero  points out of 6,The Creator,6,zero,,,,points
1839,rate How to Eat Fried Worms  two  stars,How to Eat Fried Worms,,two,,,,stars
1840,Give this  series  4  stars,,,4,this,,series,stars
1841,Rate Paradise News  2 out of 6,Paradise News,6,2,,,,
1842,Rate The Type One Super Robot  five of 6  stars,The Type One Super Robot,6,five,,,,stars
1843,Rate this  textbook  5  points out of 6 .,,6,5,this,textbook,,points
1844,rate The Manxman  5 out of 6,The Manxman,6,5,,,,
1845,I want to give Among the Enemy  4 out of 6  points,Among the Enemy,6,4,,,,points
1846,rate The Breaking Point a three,The Breaking Point,,three,,,,
1847,Rate this  book a 0 ,,,0,this,book,,
1848,I am giving Dead Souls a five rating,Dead Souls,,five,,,,
1849,Rate Deception a one,Deception,,one,,,,
1850,Rate this  album  zero of 6,,6,zero,this,album,,
1851,Rate A Spot of Bother  3  stars,A Spot of Bother,,3,,,,stars
1852,Rate Therapy a zero,Therapy,,zero,,,,
1853,Rate The Anatomy of Melancholy  1  stars,The Anatomy of Melancholy,,1,,,,stars
1854,I would give this current  book a rating a five and a best rating of 6,,6,five,current,book,,
1855,Freud: The Mind of the Moralist should be rated 2  stars with a best rating of 6,Freud: The Mind of the Moralist,6,2,,,,stars
1856,I rate Egg Collecting and Bird Life of Australia a zero out of 6  points,Egg Collecting and Bird Life of Australia,6,zero,,,,points
1857,rate the series  The Quantity Theory of Insanity  1,The Quantity Theory of Insanity,,1,,,series,
1858,give five  points to current  textbook,,,five,current,textbook,,points
1859,Give Directive 51  three out of 6 .,Directive 51,6,three,,,,
1860,For The Curious Incident of the Dog in the Nightdress I rate it 2 of 6  points,The Curious Incident of the Dog in the Nightdress,6,2,,,,points
1861,My Idea of Fun is a book that should get 2  stars .,My Idea of Fun,,2,,book,,stars
1862,rate this  book  series  zero out of 6  points,,6,zero,this,book,series,points
1863,The Revolution Script should have a rating value of three and a best rating of 6,The Revolution Script,6,three,,,,
1864,I want to give The Plague Lords of Ruel  0  stars,The Plague Lords of Ruel,,0,,,,stars
1865,Award a rating of 2  stars out of 6 to Confessions of an economic hit man,Confessions of an economic hit man,6,2,,,,stars
1866,give the current  album a 1 ,,,1,current,album,,
1867,Rate the Sacred Fire  series  5  points,Sacred Fire,,5,,,series,points
1868,rate the current  textbook a 5 ,,,5,current,textbook,,
1869,I give Cross Country  four out of 6 .,Cross Country,6,four,,,,
1870,rate the current  album a zero,,,zero,current,album,,
1871,I want to rate the current  chronicle a two,,,two,current,,chronicle,
1872,rate this  novel  4 out of 6 ,,6,4,this,novel,,
1873,rate the book  chronicle  The Obama Nation a 4,The Obama Nation,,4,,book,chronicle,
1874,rate The Braindead Megaphone  series  zero out of 6  points,The Braindead Megaphone,6,zero,,,series,points
1875,give 5 out of 6  points to Thorn Castle,Thorn Castle,6,5,,,,points
1876,give two star to As Long as We Both Shall Live  book,As Long as We Both Shall Live,,two,,book,,
1877,Rate The Cherryh Odyssey  three of 6  stars,The Cherryh Odyssey,6,three,,,,stars
1878,Give the current  novel I am reading a five  stars rating.,,,five,current,novel,,stars
1879,rate The Tom Thomson Mystery  1  stars,The Tom Thomson Mystery,,1,,,,stars
1880,Rate this  novel  five of 6,,6,five,this,novel,,
1881,I am giving Fifty Years a Hunter and Trapper a 1 rating.,Fifty Years a Hunter and Trapper,,1,,,,
1882,this  book gets out of a total of 6  stars only 1,,6,1,this,book,,stars
1883,give three  stars to Talbot Mundy: Messenger of Destiny,Talbot Mundy: Messenger of Destiny,,three,,,,stars
1884,Give Who ? 1 out of 6  stars ,Who,6,1,,,,stars
1885,Rate Lamy of Santa Fe  5 of 6  stars,Lamy of Santa Fe,6,5,,,,stars
1886,Give four  stars out of 6 to Practice to Deceive,Practice to Deceive,6,four,,,,stars
1887,Rate this  book  3 of 6,,6,3,this,book,,
1888,Rate The Lie Tree  five,The Lie Tree,,five,,,,
1889,Give 99 Coffins  0  stars out of 6 .,99 Coffins,6,0,,,,stars
1890,Rate DNA Repair and Mutagenesis  four  stars,DNA Repair and Mutagenesis,,four,,,,stars
1891,give 0 out of 6  points to this  album,,6,0,this,album,,points
1892,Rate this  textbook  5  stars out of 6,,6,5,this,textbook,,stars
1893,Rate The Bell Curve a three .,The Bell Curve,,three,,,,
1894,I want to give The Pilgrims of Rayne  three out of 6  stars ,The Pilgrims of Rayne,6,three,,,,stars
1895,The current  novel in this series gets zero  points from me.,,,zero,current,novel,series,points
1896,I give the current  textbook a four  points rating,,,four,current,textbook,,points
1897,How can I rate the current  chronicle  5  stars ?,How,,5,current,,chronicle,stars
1898,The Sins of the Cities of the Plain gets a rating of one,The Sins of the Cities of the Plain,,one,,,,
1899,I want to give this  essay  zero out of 6,,6,zero,this,essay,,
1900,Rate The Honourable Jim a three,The Honourable Jim,,three,,,,
1901,Rate Gilgamesh the King  5 out of 6,Gilgamesh the King,6,5,,,,
1902,rate this  novel a four,,,four,this,novel,,
1903,Rate Definitely Dead  saga  5  points out of 6,Definitely Dead,6,5,,,saga,points
1904,give 0  points to current  series,,,0,current,,series,points
1905,I am rating this current  novel  three out of 6  points .,,6,three,current,novel,,points
1906,Rate The Scarab Murder Case a one,The Scarab Murder Case,,one,,,,
